title,author,publisher,price,original_price,discount,rating,image_url,book_url
Sıfır Noktasındaki Kadın,Neval el-Saadavi,METİS YAYINLARI,"130,10",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11711429/wi:100/wh:true,https://www.kitapyurdu.com/kitap/sifir-noktasindaki-kadin/5790.html
Bırak Yapsınlar Teorisi,Mel Robbins,NEPAL KİTAP,"187,28",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12067269/wi:100/wh:true,https://www.kitapyurdu.com/kitap/birak-yapsinlar-teorisi/720560.html
Benim Zürafam Uçabilir,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,"62,15",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11631569/wi:100/wh:true,https://www.kitapyurdu.com/kitap/benim-zurafam-ucabilir/589761.html
Öğrenmeyi Öğrenmek,Altay Cem Meriç,TİN YAYINLARI,"178,75",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11893288/wi:100/wh:true,https://www.kitapyurdu.com/kitap/ogrenmeyi-ogrenmek/682948.html
On Numara Beş Yıldız Apartmanı,Ece Erdoğuş Levi,TİMAŞ ÇOCUK YAYINLARI,"63,10",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11930690/wi:100/wh:true,https://www.kitapyurdu.com/kitap/on-numara-bes-yildiz-apartmani/691637.html
Sınır Var Sinir Yok (Karton Kapak),Doç. Dr. Saniye Bencik Kangal,DOĞAN KİTAP,"129,26",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12012308/wi:100/wh:true,https://www.kitapyurdu.com/kitap/sinir-var-sinir-yok-karton-kapak/708570.html
Yuan Huan’ın Kulübesi,Miyase Sertbarut,TUDEM YAYINEVİ,"124,79",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:9779010/wi:100/wh:true,https://www.kitapyurdu.com/kitap/yuan-huanin-kulubesi/514532.html
Nohut Adam,Anıl Basılı,TİMAŞ ÇOCUK YAYINLARI,"62,17",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11467783/wi:100/wh:true,https://www.kitapyurdu.com/kitap/nohut-adam/557727.html
Miras,Vigdis Hjorth,SİREN YAYINLARI,"228,00",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11906035/wi:100/wh:true,https://www.kitapyurdu.com/kitap/miras/576119.html
Kapiland'ın Kobayları,Miyase Sertbarut,TUDEM YAYINEVİ,"160,01",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11281476/wi:100/wh:true,https://www.kitapyurdu.com/kitap/kapilandin-kobaylari/93536.html
Uzaya Giden Tren,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,"62,34",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11631570/wi:100/wh:true,https://www.kitapyurdu.com/kitap/uzaya-giden-tren/623243.html
Filozof Meşe,Anooshirvan  Miandji,BİLGİ ÇOCUK KİTAPLARI,"99,71",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:6824857/wi:100/wh:true,https://www.kitapyurdu.com/kitap/filozof-mese/471826.html
Sarmal,Murat Ağırel,KIRMIZI KEDİ YAYINEVİ,"153,63",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11939850/wi:100/wh:true,https://www.kitapyurdu.com/kitap/sarmal/531483.html
İnsan Olmak,Engin Geçtan,METİS YAYINLARI,"174,82",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11732291/wi:100/wh:true,https://www.kitapyurdu.com/kitap/insan-olmak/50667.html
Pia Mater,Serkan Karaismailoğlu,ELMA YAYINEVİ,"192,94",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:8863916/wi:100/wh:true,https://www.kitapyurdu.com/kitap/pia-mater/504836.html
Zaman Bisikleti,Bilgin Adalı,CAN ÇOCUK YAYINLARI,"110,65",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11961150/wi:100/wh:true,https://www.kitapyurdu.com/kitap/zaman-bisikleti/57439.html
Bir İdam Mahkumunun Son Günü,Victor Hugo,KAPRA YAYINCILIK,"14,94",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11318912/wi:100/wh:true,https://www.kitapyurdu.com/kitap/bir-idam-mahkumunun-son-gunu/564150.html
Şeker Portakalı (Ciltsiz),Jose Mauro De Vasconcelos,CAN YAYINLARI,"132,78",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11462950/wi:100/wh:true,https://www.kitapyurdu.com/kitap/seker-portakali-ciltsiz/10139.html
Süper Gazeteciler 1,Aytül Akal,TUDEM YAYINEVİ,"157,16",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11453973/wi:100/wh:true,https://www.kitapyurdu.com/kitap/super-gazeteciler-1/592169.html
Bu Kadar Tantana Yeter,Mert Arık,TİMAŞ ÇOCUK YAYINLARI,"56,51",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11876022/wi:100/wh:true,https://www.kitapyurdu.com/kitap/bu-kadar-tantana-yeter/679589.html
Sırtımdaki Okyanus,Serhan Kansu,ELMA YAYINEVİ,"102,25",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:4570410/wi:100/wh:true,https://www.kitapyurdu.com/kitap/sirtimdaki-okyanus/435742.html
Kapra Felsefe Seti (10 Kitap),Rene Descartes,KAPRA YAYINCILIK,"138,75",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11465044/wi:100/wh:true,https://www.kitapyurdu.com/kitap/kapra-felsefe-seti-10-kitap/592209.html
Sıfır Kural Sınıfı & Özgürlüğün Sınırları,Ergün Kazanır,TİMAŞ ÇOCUK YAYINLARI,"68,75",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12092536/wi:100/wh:true,https://www.kitapyurdu.com/kitap/sifir-kural-sinifi-ozgurlugun-sinirlari/726352.html
Fonksiyonel Beslenme,Nazan Uysal Harzadın,DOĞAN KİTAP,"273,20",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12093956/wi:100/wh:true,https://www.kitapyurdu.com/kitap/fonksiyonel-beslenme/727019.html
Azdahak,Prof. Dr. İskender Pala,KAPI YAYINLARI,"237,00",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12099148/wi:100/wh:true,https://www.kitapyurdu.com/kitap/azdahak/704346.html
Kraliçeyi Kurtarmak,Vladimir Tumanov,GÜNIŞIĞI KİTAPLIĞI,"159,56",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:2953601/wi:100/wh:true,https://www.kitapyurdu.com/kitap/kraliceyi-kurtarmak/58695.html
Veda Etmiyorum,Han Kang,APRIL YAYINCILIK,"101,52",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11983067/wi:100/wh:true,https://www.kitapyurdu.com/kitap/veda-etmiyorum/684847.html
Göbeklitepede Gece Yarısı,Kayahan Demir,TİMAŞ GENÇ,"223,44",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12092859/wi:100/wh:true,https://www.kitapyurdu.com/kitap/gobeklitepede-gece-yarisi/726494.html
Suç ve Ceza (Ciltsiz),Fyodor Mihailoviç Dostoyevski,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,"132,30",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:3846451/wi:100/wh:true,https://www.kitapyurdu.com/kitap/suc-ve-ceza-ciltsiz/88352.html
Kiraz Ağacı ile Aramızdaki Mesafe,Paola Peretti,TİMAŞ GENÇ,"120,30",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11675361/wi:100/wh:true,https://www.kitapyurdu.com/kitap/kiraz-agaci-ile-aramizdaki-mesafe/476330.html
Elo ve Moni ile Finansal Okuryazarlık,Hale Güneş,ABM YAYINEVİ,"189,00",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11855021/wi:100/wh:true,https://www.kitapyurdu.com/kitap/elo-ve-moni-ile-finansal-okuryazarlik/675771.html
Dünyanın En Yalnız Beyni,Serkan Karaismailoğlu,ORTAPİA,"164,24",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11837807/wi:100/wh:true,https://www.kitapyurdu.com/kitap/dunyanin-en-yalniz-beyni/654591.html
Kalbin Şifası & Hayatın Zincirlerinden Kurtulmaya Dair İçgörüler,Yasmin  Mogahed,TİMAŞ YAYINLARI,"134,03",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:12054933/wi:100/wh:true,https://www.kitapyurdu.com/kitap/kalbin-sifasi-hayatin-zincirlerinden-kurtulmaya-dair-icgoruler/682341.html
Sinekli Bakkal,Halide Edib Adıvar,CAN YAYINLARI,"184,84",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11469493/wi:100/wh:true,https://www.kitapyurdu.com/kitap/sinekli-bakkal/94987.html
Pal Sokağı Çocukları,Ferenc Molnar,KAPRA YAYINCILIK,"30,46",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11651602/wi:100/wh:true,https://www.kitapyurdu.com/kitap/pal-sokagi-cocuklari/636583.html
Kalplerin Keşfi / Mukaşefetü'l Kulüp (Ciltsiz),İmam Gazali,ÇELİK YAYINEVİ,"98,62",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11286051/wi:100/wh:true,https://www.kitapyurdu.com/kitap/kalplerin-kesfi-mukasefetul-kulup-ciltsiz/266797.html
Martı Jonathan Livingston,Richard Bach,EPSİLON YAYINEVİ,"135,03",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:7528415/wi:100/wh:true,https://www.kitapyurdu.com/kitap/marti-jonathan-livingston/17070.html
Pal Sokağı Çocukları,Ferenc Molnar,YAPI KREDİ YAYINLARI,"57,20",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:1030555/wi:100/wh:true,https://www.kitapyurdu.com/kitap/pal-sokagi-cocuklari/125370.html
Kitleler Psikolojisi,Gustave Le Bon,KAPRA YAYINCILIK,"19,90",N/A,N/A,N/A,https://img.kitapyurdu.com/v1/getImage/fn:11318952/wi:100/wh:true,https://www.kitapyurdu.com/kitap/kitleler-psikolojisi/564183.html
